"KpiResourcePropID","KpiResourceRelMbrID","PropNameExpr","PropValueExpr","CreatedDte","UpdatedDte","KpiResourceTypeID","created","updated"
9527,8713,Site,Site,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9528,8713,Domain,Domain,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9529,8713,domainType,domainType,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9530,8713,NFName,NFName,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9531,8713,NFType,NFType,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9532,8713,interval,interval,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9533,8714,displayName,deviceName,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9534,8714,Market,Market,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9535,8714,Region,Region,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9536,8714,technology,technology,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9537,8714,version,version,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9538,8714,Site,Site,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9539,8714,Domain,Domain,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9540,8714,domainType,domainType,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9541,8714,NFName,NFName,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9542,8714,NFType,NFType,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9543,8714,interval,interval,1662976688,1662976688,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9643,8725,displayName,deviceName,1663091799,1663091799,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9644,8725,Market,Market,1663091799,1663091799,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9645,8725,Region,Region,1663091799,1663091799,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9646,8725,technology,technology,1663091799,1663091799,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9647,8725,version,version,1663091799,1663091799,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9648,8725,Site,Site,1663091799,1663091799,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9649,8725,Domain,Domain,1663091799,1663091799,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9650,8725,domainType,domainType,1663091799,1663091799,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9651,8725,NFName,NFName,1663091799,1663091799,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9652,8725,NFType,NFType,1663091799,1663091799,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9653,8725,interval,interval,1663091799,1663091799,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9654,8726,displayName,deviceName,1663091799,1663091799,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9655,8726,Market,Market,1663091799,1663091799,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9656,8726,Region,Region,1663091799,1663091799,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9657,8726,technology,technology,1663091799,1663091799,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9658,8726,version,version,1663091799,1663091799,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9659,8726,Site,Site,1663091799,1663091799,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9660,8726,Domain,Domain,1663091799,1663091799,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9661,8726,domainType,domainType,1663091799,1663091799,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9662,8726,NFName,NFName,1663091799,1663091799,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9663,8726,NFType,NFType,1663091799,1663091799,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9664,8726,interval,interval,1663091799,1663091799,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9720,8738,displayName,deviceName,1667485816,1667485816,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9721,8738,Market,Market,1667485816,1667485816,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9722,8738,Region,Region,1667485816,1667485816,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9723,8738,technology,technology,1667485816,1667485816,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9724,8738,version,version,1667485816,1667485816,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9725,8738,Site,Site,1667485816,1667485816,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9726,8738,Domain,Domain,1667485816,1667485816,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9727,8738,domainType,domainType,1667485816,1667485816,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9728,8738,NFName,NFName,1667485816,1667485816,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9729,8738,NFType,NFType,1667485816,1667485816,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9730,8738,interval,interval,1667485816,1667485816,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9841,8760,displayName,deviceName,1674148130,1674148130,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9842,8760,Market,Market,1674148130,1674148130,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9843,8760,Region,Region,1674148130,1674148130,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9844,8760,technology,technology,1674148130,1674148130,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9845,8760,version,version,1674148130,1674148130,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9846,8760,Site,Site,1674148130,1674148130,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9847,8760,Domain,Domain,1674148130,1674148130,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9848,8760,domainType,domainType,1674148130,1674148130,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9849,8760,NFName,NFName,1674148130,1674148130,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
9850,8760,NFType,NFType,1674148130,1674148130,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
